# ell tt ee te bb
7.300000000000000000e+01 2.257974822520982805e+00 4.294430897711616971e-04 -8.262211520558887870e-03 1.990433406834448033e-06
7.400000000000000000e+01 2.226591753147944441e+00 4.336798084769246959e-04 -8.593869308323140097e-03 1.990896197739658328e-06
7.500000000000000000e+01 2.196221893681132187e+00 4.377589936375911035e-04 -8.916994614078807904e-03 1.991353181291485212e-06
7.600000000000000000e+01 2.166702370398711608e+00 4.416740298569706014e-04 -9.230718016803420370e-03 1.991806005903514170e-06
7.700000000000000000e+01 2.137931623283699345e+00 4.454224042955385677e-04 -9.534431719774453043e-03 1.992256114487620998e-06
7.800000000000000000e+01 2.109960641871097664e+00 4.490006642192758985e-04 -9.828895422209927429e-03 1.992704744370641977e-06
7.900000000000000000e+01 2.082892982520160530e+00 4.524067580194630943e-04 -1.011510724672927755e-02 1.993152934657116705e-06
8.000000000000000000e+01 2.056798891433288645e+00 4.556391526803509799e-04 -1.039412790697225204e-02 1.993601540045049804e-06
8.100000000000000000e+01 2.031723617074677524e+00 4.586965970100621284e-04 -1.066655965927999598e-02 1.994051251397497716e-06
8.200000000000000000e+01 2.007621279002385517e+00 4.615789374922081903e-04 -1.093220132140499540e-02 1.994502620542812912e-06
8.300000000000000000e+01 1.984399408750494809e+00 4.642848272830832129e-04 -1.119086456689095434e-02 1.994956089565357453e-06
8.400000000000000000e+01 1.961992220843838508e+00 4.668139954259363446e-04 -1.144212872980951597e-02 1.995412023670646467e-06
8.500000000000000000e+01 1.940332222520310568e+00 4.691658485357677036e-04 -1.168594298264888538e-02 1.995870744073724891e-06
8.600000000000000000e+01 1.919363061007400839e+00 4.713420039230856802e-04 -1.192196114207994678e-02 1.996332562652033270e-06
8.700000000000000000e+01 1.899020143701630081e+00 4.733417725676510274e-04 -1.215006307810298156e-02 1.996797814591070600e-06
8.800000000000000000e+01 1.879255544138658918e+00 4.751653938934490484e-04 -1.237015142277607220e-02 1.997266889984051519e-06
8.900000000000000000e+01 1.860047964152861999e+00 4.768133517222737866e-04 -1.258220761496214347e-02 1.997740261442155633e-06
9.000000000000000000e+01 1.841371429271714932e+00 4.782829275968336668e-04 -1.278634047107578969e-02 1.998218508216046337e-06
9.100000000000000000e+01 1.823207791308830927e+00 4.795747876278930546e-04 -1.298249911614873971e-02 1.998702335323229173e-06
9.200000000000000000e+01 1.805537368725170566e+00 4.806885761225304361e-04 -1.317088783729742849e-02 1.999192587852876374e-06
9.300000000000000000e+01 1.788352884935197284e+00 4.816243160453197386e-04 -1.335149620200194731e-02 1.999690258630002477e-06
9.400000000000000000e+01 1.771631328077090561e+00 4.823838373374777491e-04 -1.352453420032365822e-02 2.000196491099334525e-06
9.500000000000000000e+01 1.755366312068215251e+00 4.829670062835244812e-04 -1.368999989094572302e-02 2.000712575606359279e-06
9.600000000000000000e+01 1.739536338599944720e+00 4.833749313924551425e-04 -1.384795141101151546e-02 2.001239940799668598e-06
9.700000000000000000e+01 1.724125992353607417e+00 4.836083639843753636e-04 -1.399845175176572809e-02 2.001780139319277737e-06
9.800000000000000000e+01 1.709125371108880964e+00 4.836677320154551579e-04 -1.414156814910135125e-02 2.002334829396230053e-06
9.900000000000000000e+01 1.694505993419575196e+00 4.835545852737612848e-04 -1.427732438692363472e-02 2.002905752360177073e-06
1.000000000000000000e+02 1.680264248761312196e+00 4.832719455901201091e-04 -1.440575117759122260e-02 2.003494707353972452e-06
1.010000000000000000e+02 1.666382625937310236e+00 4.828209538403696057e-04 -1.452688589263506636e-02 2.004103523827015203e-06
1.020000000000000000e+02 1.652848414392736220e+00 4.821982803760223465e-04 -1.464090647768602309e-02 2.004734033200137101e-06
1.030000000000000000e+02 1.639640622877190479e+00 4.814140802648269528e-04 -1.474768083315816311e-02 2.005388039969021593e-06
1.040000000000000000e+02 1.626748025617277271e+00 4.804608284376819436e-04 -1.484735122377871426e-02 2.006067294013982284e-06
1.050000000000000000e+02 1.614155699216898165e+00 4.793443238952377079e-04 -1.493993121599145393e-02 2.006773464513996832e-06
