# ell tt ee te bb
4.500000000000000000e+01 4.017697479746727751e+00 2.563255123727634761e-04 3.979006180450004974e-03 5.886555525844854402e-07
4.600000000000000000e+01 3.903071596170168966e+00 2.637211075121295885e-04 3.448392143350603300e-03 5.890054577458592979e-07
4.700000000000000000e+01 3.794713736555089145e+00 2.710761889865520254e-04 2.926118938943881968e-03 5.893508056681902802e-07
4.800000000000000000e+01 3.692212509993181957e+00 2.783699584476200884e-04 2.410483364566999142e-03 5.896909304642505729e-07
4.900000000000000000e+01 3.595305982839291037e+00 2.855853487712465134e-04 1.899656806613763630e-03 5.900251310923622359e-07
5.000000000000000000e+01 3.503832531440928655e+00 2.927330328884575187e-04 1.392637801507646883e-03 5.903526929237662047e-07
5.100000000000000000e+01 3.417365471423900125e+00 2.998138470172218343e-04 8.900179294668755358e-04 5.906729099801149510e-07
5.200000000000000000e+01 3.335294327073545784e+00 3.068229285374521657e-04 3.942630731036084559e-04 5.909851060210854112e-07
5.300000000000000000e+01 3.257095519615961887e+00 3.137487765645617112e-04 -9.252907834303264435e-05 5.912886541441592741e-07
5.400000000000000000e+01 3.182543977672640967e+00 3.205854105397897393e-04 -5.702155842717196573e-04 5.915829954778595855e-07
5.500000000000000000e+01 3.111493368248913871e+00 3.273315379417271746e-04 -1.039415703148192146e-03 5.918676543349096063e-07
5.600000000000000000e+01 3.043992656907327010e+00 3.339753131585849739e-04 -1.501773546044449324e-03 5.921422525663585981e-07
5.700000000000000000e+01 2.979895697356508055e+00 3.405149252778842998e-04 -1.958024193549072218e-03 5.924065187836826821e-07
5.800000000000000000e+01 2.918762138766496150e+00 3.469552092423294916e-04 -2.407407640219224286e-03 5.926602960494619888e-07
5.900000000000000000e+01 2.860170897821445735e+00 3.533000077309875848e-04 -2.849177363145998128e-03 5.929035457201501815e-07
6.000000000000000000e+01 2.804059263249564449e+00 3.595324211262414357e-04 -3.283547243099028262e-03 5.931363470756023621e-07
6.100000000000000000e+01 2.750449495177114123e+00 3.656361434821070217e-04 -3.711004984975517333e-03 5.933588954902768337e-07
6.200000000000000000e+01 2.699276176224888246e+00 3.716011356286439988e-04 -4.131940798244876194e-03 5.935714959360166807e-07
6.300000000000000000e+01 2.650325837543643814e+00 3.774350760597291739e-04 -4.545819398325718318e-03 5.937745548587844226e-07
6.400000000000000000e+01 2.603342957292574589e+00 3.831475922856464409e-04 -4.951944723476296890e-03 5.939685688828360350e-07
6.500000000000000000e+01 2.558152208081560630e+00 3.887465306817883162e-04 -5.349867784119669706e-03 5.941541127210389640e-07
6.600000000000000000e+01 2.514724569496681106e+00 3.942142142779523056e-04 -5.739747912590432814e-03 5.943318237640135517e-07
6.700000000000000000e+01 2.473071674395082020e+00 3.995354459058612960e-04 -6.121871669323001620e-03 5.945023875163755967e-07
6.800000000000000000e+01 2.433177459196046666e+00 4.046963512554538301e-04 -6.496445815160055773e-03 5.946665212138968858e-07
6.900000000000000000e+01 2.394928772034611075e+00 4.096964892099852680e-04 -6.863411852960286420e-03 5.948249583897282375e-07
7.000000000000000000e+01 2.358219130359807014e+00 4.145388804453159319e-04 -7.222907491860493939e-03 5.949784333126337511e-07
7.100000000000000000e+01 2.322936488073929162e+00 4.192290809061321837e-04 -7.575194766944785829e-03 5.951276668289399131e-07
7.200000000000000000e+01 2.289049241837209259e+00 4.237705539111256969e-04 -7.920793549535291161e-03 5.952733529087016499e-07
7.300000000000000000e+01 2.256504590098176610e+00 4.281647660784675645e-04 -8.259996348119875292e-03 5.954161478138611981e-07
7.400000000000000000e+01 2.225134611781404370e+00 4.324066216453941575e-04 -8.591867932910727396e-03 5.955566604423682255e-07
7.500000000000000000e+01 2.194778048066428511e+00 4.364910526638592818e-04 -8.915216502207879562e-03 5.956954454103747188e-07
7.600000000000000000e+01 2.165272035725013922e+00 4.404114376804586979e-04 -9.229172546051064505e-03 5.958329981033390041e-07
7.700000000000000000e+01 2.136515019527755577e+00 4.441652576197724117e-04 -9.533128181961589981e-03 5.959697522608548697e-07
7.800000000000000000e+01 2.108557988280647777e+00 4.477490533387140322e-04 -9.827843025967612778e-03 5.961060799331394841e-07
7.900000000000000000e+01 2.081504492459519629e+00 4.511607666476223763e-04 -1.011431511906752539e-02 5.962422936729252228e-07
8.000000000000000000e+01 2.055424767745952952e+00 4.543988577750128662e-04 -1.039360509351879881e-02 5.963786506643100176e-07
8.100000000000000000e+01 2.030364048095495644e+00 4.574620685925244066e-04 -1.066631512291533676e-02 5.965153588826091184e-07
8.200000000000000000e+01 2.006276435325758722e+00 4.603502384569914526e-04 -1.093224393908593522e-02 5.966525845237934110e-07
8.300000000000000000e+01 1.983069440832339048e+00 4.630620131960899786e-04 -1.119120312452589680e-02 5.967904607857204277e-07
8.400000000000000000e+01 1.960677257484591207e+00 4.655971143099642664e-04 -1.144277191512194439e-02 5.969290977265566377e-07
8.500000000000000000e+01 1.939032370245176162e+00 4.679549406414328810e-04 -1.168689937603881179e-02 5.970685921308628449e-07
